Index,Title,ArtistID,Artist,Top Genre,Year,Length (Duration),Popularity
794,Dance Monkey,1391,Tones and I,australian pop,2019,209,100
788,Memories,1006,Maroon 5,pop,2019,189,98
787,bad guy,1386,Billie Eilish,electropop,2019,194,95
1642,All I Want for Christmas Is You,1645,Mariah Carey,dance pop,1994,241,95
689,Believer,1260,Imagine Dragons,modern rock,2017,204,88
727,Shallow,1213,Lady Gaga,dance pop,2018,216,88
684,Perfect,1247,Ed Sheeran,pop,2017,263,87
688,Shape of You,1247,Ed Sheeran,pop,2017,234,87
746,High Hopes,1369,Panic! At The Disco,baroque pop,2018,191,87
530,All of Me,1170,John Legend,neo mellow,2013,270,86
707,Thunder,1260,Imagine Dragons,modern rock,2017,187,86
775,One Kiss (with Dua Lipa),1379,Calvin Harris,dance pop,2018,215,86
523,Wake Me Up,1243,Avicii,big room,2013,247,85
618,The Less I Know The Better,1320,Tame Impala,australian psych,2015,216,85
752,Someone You Loved,1371,Lewis Capaldi,pop,2018,182,85
773,Havana (feat. Young Thug),1378,Camila Cabello,dance pop,2018,217,85
785,Last Christmas,1385,Wham!,dance rock,2019,265,85
31,The Scientist,1016,Coldplay,permanent wave,2002,310,84
399,Do They Know It's Christmas? - 1984 Version,1222,Band Aid,electro,2004,223,84
418,Christmas Lights,1016,Coldplay,permanent wave,2010,242,84
