Index,Title,ArtistID,Artist,Top Genre,Year,Length (Duration),Popularity
730,I Want To Break Free,1364,Queen,glam rock,2018,223,59
943,Killer Queen - 2011 Mix,1364,Queen,glam rock,1974,180,67
964,Bohemian Rhapsody - 2011 Mix,1364,Queen,glam rock,1975,354,77
965,Love Of My Life - Remastered 2011,1364,Queen,glam rock,1975,217,62
977,You're My Best Friend - Remastered 2011,1364,Queen,glam rock,1975,171,61
982,39 - 2011 Mix,1364,Queen,glam rock,1975,211,52
1001,Somebody To Love - 2011 Mix,1364,Queen,glam rock,1976,296,70
1010,Tie Your Mother Down - Remastered 2011,1364,Queen,glam rock,1976,287,50
1037,We Will Rock You - Remastered,1364,Queen,glam rock,1977,122,70
1040,We Are The Champions - Remastered 2011,1364,Queen,glam rock,1977,179,66
1062,Spread Your Wings - 2011 Mix,1364,Queen,glam rock,1977,274,50
1083,Don't Stop Me Now - 2011 Mix,1364,Queen,glam rock,1978,209,76
1093,Fat Bottomed Girls - Single Version,1364,Queen,glam rock,1978,203,51
1095,Bicycle Race - Remastered 2011,1364,Queen,glam rock,1978,181,55
1157,Another One Bites The Dust - Remastered 2011,1364,Queen,glam rock,1980,215,74
1162,Crazy Little Thing Called Love - Remastered 2011,1364,Queen,glam rock,1980,163,66
1177,Save Me - Remastered 2011,1364,Queen,glam rock,1980,230,51
1207,Under Pressure - Remastered,1364,Queen,glam rock,1982,248,72
1271,Radio Ga Ga - 2011 Mix,1364,Queen,glam rock,1984,348,66
1296,Thank God It's Christmas - 2011 Remaster,1364,Queen,glam rock,1984,262,72
1351,A Kind Of Magic - Remastered 2011,1364,Queen,glam rock,1986,264,54
1362,One Vision - Remastered 2011,1364,Queen,glam rock,1986,311,49
1365,Friends Will Be Friends - Remastered 2011,1364,Queen,glam rock,1986,247,50
1468,I Want It All - Remastered 2011,1364,Queen,glam rock,1989,242,55
1474,Breakthru - Remastered 2011,1364,Queen,glam rock,1989,248,48
1493,The Miracle - Remastered 2011,1364,Queen,glam rock,1989,301,33
1494,The Invisible Man - Remastered 2011,1364,Queen,glam rock,1989,238,47
1521,Innuendo - Remastered 2011,1364,Queen,glam rock,1991,393,49
1524,Who Wants To Live Forever - Remastered 2011,1364,Queen,glam rock,1991,295,51
1527,The Show Must Go On - 2011 Mix,1364,Queen,glam rock,1991,278,58
1534,These Are The Days Of Our Lives - 2011 Remaster,1364,Queen,glam rock,1991,255,49
1539,Hammer To Fall - Remastered 2011,1364,Queen,glam rock,1991,218,55
1558,I'm Going Slightly Mad - Remastered 2011,1364,Queen,glam rock,1991,263,48
1677,Heaven For Everyone - Remastered 2011,1364,Queen,glam rock,1995,336,49
1679,Too Much Love Will Kill You - 2011 Remaster,1364,Queen,glam rock,1995,259,49
1682,You Don't Fool Me - Remastered 2011,1364,Queen,glam rock,1995,325,45
1691,A Winter's Tale - 2011 Remaster,1364,Queen,glam rock,1995,230,29
