Index,Title,ArtistID,Artist,Top Genre,Year,Length (Duration),Popularity
1794,Sacrifice,1073,Anouk,dutch indie,1998,238,11
774,Hou Vol Hou Vast,1022,BLØF,dutch pop,2018,295,12
625,Three Days In A Row,1073,Anouk,dutch indie,2015,254,13
412,Peter Gunn Theme,1229,"Emerson, Lake & Palmer",album rock,2010,217,14
606,Het Dorp - Live,1317,Wim Sonneveld,dutch cabaret,2015,198,15
754,Malle Babbe,1372,Rob De Nijs,dutch pop,2018,253,15
25,Dichterbij Dan Ooit,1022,BLØF,dutch pop,2002,261,16
627,R U Kiddin' Me,1073,Anouk,dutch indie,2015,200,16
753,Banger Hart - Radio Mix,1372,Rob De Nijs,dutch pop,2018,261,16
755,Vluchten Kan Niet Meer,1366,Frans Halsema,dutch rock,2018,221,17
765,Prikkebeen,1076,Boudewijn de Groot,dutch indie,2018,252,17
441,A Boy Named Sue (Live),1053,Johnny Cash,arkansas country,2011,218,18
1810,Jesus He Knows Me,1438,Genesis,album rock,1999,256,18
91,De Vondeling Van Ameland,1076,Boudewijn de Groot,dutch indie,2007,306,19
492,Winter,1264,Tori Amos,art pop,2012,345,19
767,Als De Rook Om Je Hoofd Is Verdwenen,1076,Boudewijn de Groot,dutch indie,2018,205,19
615,Michel,1073,Anouk,dutch indie,2015,249,20
761,Een Meisje Van Zestien,1076,Boudewijn de Groot,dutch indie,2018,179,20
621,For Bitter Or Worse,1073,Anouk,dutch indie,2015,255,21
777,Lay Your Weapons Down,1023,Ilse DeLange,dutch americana,2018,219,21
